ds,EBE,TOL,BEN,NMHC,TCH,CO,SO_2,PM10,O_3,NO_2,total
2015-11-17,1.234548621660372,7.351438450839534,1.3329489112569255,0.17993179559966338,1.5524590736077655,0.6614583399302015,9.901041666666666,42.296875,10.022569444444445,70.84027777777777,145.37354908178332
2015-11-18,1.4121775685454763,8.508469704302057,1.5522817436121552,0.18071552495830615,1.5104092233592556,0.7895833348544935,11.379340277777779,34.07725694444444,9.658854166666666,76.06076388888889,145.12985237740952
2015-11-19,1.636569938086535,9.931944462248968,1.767311503641337,0.1839434526119721,1.4892931532794758,0.8139756956111847,11.0390625,34.30555555555556,9.964409722222221,76.140625,147.27269098325723
2015-11-20,1.261247525213375,7.645548143231916,1.4129464283552287,0.1713132436501808,1.5242088331234835,0.6555555584879281,10.630208333333334,31.79340277777778,11.778645833333334,65.74131944444444,132.614396120951
2015-11-21,0.17230903104017856,1.2211557533647421,0.3079613144001332,0.09324032778247432,1.224846237693869,0.24878472831591752,6.832465277777778,14.808159722222221,49.79340277777778,21.57465277777778,96.27697794815288
2015-11-22,0.1817460346695346,1.0094246061570529,0.40953621407785995,0.10762896865979571,1.247271835138755,0.2735243117786012,6.379340277777778,6.518229166666667,47.220486111111114,29.569444444444443,92.9166319704816
2015-11-23,0.22841022215092494,1.7574528739177844,0.48606151261825176,0.11388392934838068,1.2687152939005977,0.3261284789251577,7.6953125,8.0859375,38.03211805555556,37.939236111111114,95.93325647752776
2015-11-24,0.9787078428106191,5.304203827695418,1.1248263873045317,0.1860143847427227,1.516810512406722,0.5755208384297374,9.594618055555555,22.32638888888889,13.481770833333334,75.31944444444444,130.40830601561197
2015-11-25,0.6312375995441384,3.3818328365247456,0.7707713306123865,0.128270088757355,1.362202368454919,0.3290798682137392,7.763020833333333,13.409722222222221,42.833333333333336,40.24305555555556,110.85252603655174
2015-11-26,0.7347098252530919,4.575855629366179,0.9702008922800555,0.15395957303218658,1.323606150032627,0.5459201431432221,10.197916666666666,19.875868055555557,35.48784722222222,61.74652777777778,135.6124119353296
2015-11-27,0.49372519995270675,3.655840791819159,0.733358144047781,0.12348214365238881,1.2774070103963215,0.4848958377260715,8.953993055555555,14.706597222222221,32.494791666666664,55.07725694444444,118.00134801648332
2015-11-28,0.7050099237554056,4.4904389720158795,1.0035094260894102,0.16728794681821163,1.4032192472072822,0.5261284777791135,10.17361111111111,17.985243055555557,21.749131944444443,57.357638888888886,115.5612189936653
2015-11-29,0.46604663151822656,2.98280008672367,1.0130332325925193,0.14720858175987522,1.3687425506197743,0.5886284759294035,9.59982638888889,18.368055555555557,21.359375,58.76128472222222,114.65500122581014
2015-11-30,1.3865079430582385,9.12796384883335,2.028112598680078,0.20103050555686447,1.4780332361096664,0.8823784749644498,13.70920138888889,28.66579861111111,12.438368055555555,85.640625,155.5580196627582
2015-12-01,1.4012152745475297,7.951550118639947,1.5520833326366892,0.2132390867660029,1.5027393329119871,0.848524312779773,13.230902777777779,30.544270833333332,12.153645833333334,89.90190972222223,159.3000806249486
2015-12-02,2.0739955270204633,11.161346724907322,2.241009433347259,0.24852802556669631,1.634378722839294,1.0243055596430268,15.78732638888889,45.62586805555556,7.683159722222222,104.86111111111111,192.34102927110186
